AccountNo OpeningBal ClosingBal 
11012342 7815.00 3442.00 
12013464 -256.00 -507.00 
13014586 -165.00 1612.00 
11012375 9825.00 9825.00 
12013500 -10022.00 -10022.00 
13014625 -3598.00 -3598.00 
11145442 982.00 982.00 
12158664 -988.00 -988.00 
11174581 12.00 12.00 
12190452 -100.00 -100.00 
13206323 -4825.00 -4825.00 
13446565 1995.00 1995.00 
14668980 -65.00 -65.00 
15891395 -1987.00 -1987.00 
14532364 22350.00 22350.00 
15853488 -2654.00 -2654.00 
17174612 0.00 0.00 
14532419 1987.00 1987.00 
14544365 84.00 84.00 
17188795 0.00 0.00 
17053500 -4554.00 -4554.00 
18474625 -365.00 -365.00 
15754794 9254.00 9254.00 
18619302 -987.00 -987.00 
