Firstname      Lastname       ClientNo           Accounts
Carl           Gauss          28510631           11012342,12013464,13014586 
Leo            Euler          35498215           11012375,12013500,13014625  
Hertha         Ayrton         64875412           11145442,12158664
Julia          Robinson       65451124           11174581,12190452,13206323
Alan           Turing         87154654           13446565,14668980,15891395
George         Boole          25418846           14532364,15853488,17174612
Danny          Bernoulli      35987154           14532419
Sophie         Germain        97654152           14544365,17188795    
Emmy           Noether        15446544           17053500,18474625
Mary           Cartwright     34457985           15754794,18619302 
