FromAccount ToAccount TranType Amount 
11012342 11012342 2 -3243.00 
11012342 11012342 3 40.00 
11012342 11012342 3 50.00 
11012342 11012342 2 -323.00 
11012342 11012342 2 50.00 
11012342 11012342 2 -43.00 
11012342 11012342 2 -43.00 
11012342 11012342 2 -50.00 
11012342 11012342 2 -50.00 
11012342 11012342 2 -50.00 
11012342 11012342 3 50.00 
12013464 12013464 2 -4.00 
12013464 12013464 2 -2.00 
12013464 12013464 2 -2.00 
12013464 12013464 2 -2.00 
12013464 12013464 2 -2.00 
12013464 12013464 3 3.00 
12013464 12013464 3 3.00 
12013464 12013464 3 3.00 
12013464 12013464 3 2.00 
12013464 12013464 3 3.00 
12013464 12013464 3 3.00 
12013464 12013464 3 3.00 
12013464 12013464 3 3.00 
12013464 12013464 3 10.00 
12013464 12013464 3 50.00 
13014586 13014586 3 50.00 
13014586 13014586 3 10.00 
13014586 13014586 3 43.00 
